Ensembl,Entrez,Gene.Symbol
ENSMFAG00000044637,102114891,PGBD2
ENSMFAG00000065280,123571949,U6
ENSMFAG00000000115,102126935,RAB25
ENSMFAG00000014351,123571995,U6
ENSMFAG00000060721,123570837,RNU6-723P
ENSMFAG00000040959,102126310,GJA8
ENSMFAG00000011984,123570995,RNU6-1205P
ENSMFAG00000016426,123572053,U8
ENSMFAG00000054875,102138795,CTTNBP2NL
ENSMFAG00000002199,102145215,NEXN
ENSMFAG00000038045,102118678,ABHD10
ENSMFAG00000022133,102144364,PPP2R3A
ENSMFAG00000039056,135970529,ZNF692
ENSMFAG00000036601,102125430,RCC2
ENSMFAG00000017312,123570944,RNU6-1176P
ENSMFAG00000018627,102127035,GJA5
ENSMFAG00000035079,123570935,RNU6-1304P
ENSMFAG00000001270,102138044,WARS2
ENSMFAG00000043364,102120047,C1orf174
ENSMFAG00000000647,102120678,PLCL2
ENSMFAG00000000624,101867292,CACYBP
ENSMFAG00000042415,102136108,BLZF1
ENSMFAG00000040797,102132319,SH2D1B
ENSMFAG00000018166,102127312,LAMTOR2
ENSMFAG00000044269,102140955,TBX15
ENSMFAG00000037492,102139814,DENND4B
ENSMFAG00000002406,102121570,DAZL
ENSMFAG00000033129,102134230,FCMR
ENSMFAG00000002560,102125794,PADI6
ENSMFAG00000030982,102145992,MSL2
ENSMFAG00000041326,101866740,CCDC181
ENSMFAG00000032527,102142866,FANCD2
ENSMFAG00000003493,102123983,JAK1
ENSMFAG00000043409,101867304,SPAG17
ENSMFAG00000008832,123570638,RNU1-132P
ENSMFAG00000042345,102140717,GATAD2B
ENSMFAG00000046287,102128219,ACP6
ENSMFAG00000039988,102138532,SLC19A2
ENSMFAG00000011773,123572001,U6
ENSMFAG00000002047,102141086,KCND3
ENSMFAG00000038232,102142221,FANCD2OS
ENSMFAG00000042126,101926829,MIGA1
ENSMFAG00000040060,102127939,SSR2
ENSMFAG00000039214,123572809,SPATA46
ENSMFAG00000030906,102126460,PADI4
ENSMFAG00000062122,123571795,BRK1
ENSMFAG00000033658,102146616,LRRIQ4
ENSMFAG00000002641,101926854,SRP9
ENSMFAG00000031755,102142552,DDX20
ENSMFAG00000043762,102128986,BCL9
ENSMFAG00000032848,102141919,C3orf22
ENSMFAG00000036770,102143977,RIMS3
ENSMFAG00000040313,102134740,OLFML2B
ENSMFAG00000026265,102115950,CCDC24
ENSMFAG00000050967,102138539,C1orf116
ENSMFAG00000037670,102124649,CACHD1
ENSMFAG00000051710,107128934,KIAA0040
ENSMFAG00000005303,123570948,RNU6-999P
ENSMFAG00000059847,123571957,U6
ENSMFAG00000032747,102125784,LRRC42
ENSMFAG00000042527,102127332,PADI3
ENSMFAG00000043841,102117756,NMNAT2
ENSMFAG00000063452,101926532,TENT5C
ENSMFAG00000059171,123570848,RNU6-1089P
ENSMFAG00000030860,102143734,GPR149
ENSMFAG00000008338,101925499,INTS3
ENSMFAG00000038293,102143452,INKA2
ENSMFAG00000059314,102135853,ATF6
ENSMFAG00000039633,101925772,MME
ENSMFAG00000046258,102127695,PADI1
ENSMFAG00000041915,101865223,PFKFB2
ENSMFAG00000002038,102135140,IRAK2
ENSMFAG00000035854,102118265,CMPK1
ENSMFAG00000054705,123571040,RNU7-62P
ENSMFAG00000000391,102126447,IFT25
ENSMFAG00000000321,101867020,ZNF684
ENSMFAG00000043562,101925850,CHD1L
ENSMFAG00000034906,102131561,ARHGEF2
ENSMFAG00000045730,102143197,LRRC47
ENSMFAG00000034202,102144586,RAP1A
ENSMFAG00000041705,101864904,STT3B
ENSMFAG00000031760,101864777,PYCR2
ENSMFAG00000039645,102115569,STRIT1
ENSMFAG00000063078,123572004,U6
ENSMFAG00000042232,102142946,UROC1
ENSMFAG00000008984,102118021,EXO5
ENSMFAG00000043479,101866524,DPH3
ENSMFAG00000038286,102133064,TNR
ENSMFAG00000040306,102128631,PADI2
ENSMFAG00000004551,123570839,RNU6-151P
ENSMFAG00000033058,102143449,NPR1
ENSMFAG00000041091,102128489,ROR1
ENSMFAG00000037561,102117075,VTCN1
ENSMFAG00000002528,101865922,TMIGD3
ENSMFAG00000055730,102124354,OR9G1
ENSMFAG00000042617,102142895,SELL
ENSMFAG00000003201,102132322,KHDC4
ENSMFAG00000038294,102120810,ZFP69
ENSMFAG00000032846,101926024,IPO13
ENSMFAG00000031653,102118374,SMG7
ENSMFAG00000057661,102123169,OR14I1
ENSMFAG00000008783,123571130,SNORA80E
ENSMFAG00000017749,102118665,SEC62
ENSMFAG00000035930,102143857,ZXDC
ENSMFAG00000043669,102136682,GHRL
ENSMFAG00000034178,102133099,GADL1
ENSMFAG00000045670,102146708,ACBD3
ENSMFAG00000051399,123570876,RNU6-792P
ENSMFAG00000054543,102132954,RIT1
ENSMFAG00000061455,135968453,OR2T10
ENSMFAG00000022253,101867364,METTL18
ENSMFAG00000002744,101866762,FMO5
ENSMFAG00000042166,102116711,PLCH1
ENSMFAG00000035826,102129648,ATP13A2
ENSMFAG00000059526,102144097,SNAPIN
ENSMFAG00000044100,102123195,SMAP2
ENSMFAG00000043807,102124774,TP73
ENSMFAG00000037534,102115672,ATP5PB
ENSMFAG00000036304,102146802,NDC1
ENSMFAG00000036304,102128997,NDC1
ENSMFAG00000054769,102119519,OR2T6
ENSMFAG00000039080,102145085,FIRRM
ENSMFAG00000043408,102118015,ZZZ3
ENSMFAG00000037200,102137586,SEC13
ENSMFAG00000039413,101866229,SYT11
ENSMFAG00000003965,102134273,TGFBR2
ENSMFAG00000045452,101865206,CHTOP
ENSMFAG00000028569,102123592,COL9A2
ENSMFAG00000021769,102131547,OR2M4
ENSMFAG00000022778,123570961,U6
ENSMFAG00000039162,102125892,COX20
ENSMFAG00000033865,102119774,CD101
ENSMFAG00000038821,102124772,ST3GAL3
ENSMFAG00000040178,101925338,PRKAB2
ENSMFAG00000001110,101925602,LIN9
ENSMFAG00000041764,102126170,CRP
ENSMFAG00000042548,101865583,CFAP100
ENSMFAG00000021129,123572138,U3
ENSMFAG00000044167,102124521,ZMPSTE24
ENSMFAG00000000631,102125667,CYP4X1
ENSMFAG00000033986,101865015,STAG1
ENSMFAG00000028035,102119679,GPR160
ENSMFAG00000057662,102126934,APCS
ENSMFAG00000002712,102140557,C4BPB
ENSMFAG00000001728,102127816,WRAP73
ENSMFAG00000002890,102143956,SCYL3
ENSMFAG00000043743,102136528,DUSP12
ENSMFAG00000001765,101925921,EFCAB7
ENSMFAG00000001765,102131822,EFCAB7
ENSMFAG00000045968,102131058,MFAP2
ENSMFAG00000013020,123571058,RNU7-95P
ENSMFAG00000032020,102116301,S100A16
ENSMFAG00000032549,102129477,DESI2
ENSMFAG00000034315,102116059,OVGP1
ENSMFAG00000035358,102135100,COP1
ENSMFAG00000052136,102127419,OR2L13
ENSMFAG00000003648,102116933,S100A2
ENSMFAG00000043368,102120165,AK5
ENSMFAG00000059830,102128482,FCER1A
ENSMFAG00000002550,102145607,KLF15
ENSMFAG00000038084,102116689,CIMAP3
ENSMFAG00000002526,101925579,PARP1
ENSMFAG00000034151,101866950,ATP2B2
ENSMFAG00000063124,102118631,S100A4
ENSMFAG00000036375,102123175,NCF2
ENSMFAG00000038669,101926063,KDM4A
ENSMFAG00000000910,102122206,IGSF3
ENSMFAG00000046115,102119007,S100A5
ENSMFAG00000001299,102125548,RLF
ENSMFAG00000037093,102129009,TPRG1L
ENSMFAG00000045739,102128642,ANKRD28
ENSMFAG00000058777,135969027,U1
ENSMFAG00000058777,135969028,U1
ENSMFAG00000058777,123574862,U1
ENSMFAG00000058777,123574851,U1
ENSMFAG00000058777,123573277,U1
ENSMFAG00000058777,123571532,U1
ENSMFAG00000058777,123570743,U1
ENSMFAG00000058777,123570628,U1
ENSMFAG00000058777,123570622,U1
ENSMFAG00000058777,123570623,U1
ENSMFAG00000058777,123570625,U1
ENSMFAG00000058777,123570619,U1
ENSMFAG00000058777,123570620,U1
ENSMFAG00000058777,123570614,U1
ENSMFAG00000058777,123570616,U1
ENSMFAG00000058777,123570618,U1
ENSMFAG00000058777,123570612,U1
ENSMFAG00000058777,123570607,U1
ENSMFAG00000058777,123570608,U1
ENSMFAG00000058777,123570611,U1
ENSMFAG00000058777,123570120,U1
ENSMFAG00000058777,107128305,U1
ENSMFAG00000065166,135969027,U1
ENSMFAG00000065166,135969028,U1
ENSMFAG00000065166,123574862,U1
ENSMFAG00000065166,123574851,U1
ENSMFAG00000065166,123573277,U1
ENSMFAG00000065166,123571532,U1
ENSMFAG00000065166,123570743,U1
ENSMFAG00000065166,123570628,U1
ENSMFAG00000065166,123570622,U1
ENSMFAG00000065166,123570623,U1
ENSMFAG00000065166,123570625,U1
