"Ensembl","Entrez","Gene.Symbol"
"ENSRNOG00000000007","24379","Gad1"
"ENSRNOG00000000008","296511","Alx4"
"ENSRNOG00000000009","366158","Tmco5b"
"ENSRNOG00000000010","498922","Cbln1"
"ENSRNOG00000000012","296272","Tcf15"
"ENSRNOG00000000017","297738","Steap1"
"ENSRNOG00000000024","362454","Hebp1"
"ENSRNOG00000000033","305095","Tmcc2"
"ENSRNOG00000000034","289419","Nuak2"
"ENSRNOG00000000035","689712","Tmed11"
"ENSRNOG00000000036","305096","Klhdc8a"
"ENSRNOG00000000040","305101","RGD1304622"
"ENSRNOG00000000041","64076","Slc26a1"
"ENSRNOG00000000042","289424","Xpr1"
"ENSRNOG00000000043","360904","Idua"
"ENSRNOG00000000044","305623","Tmem175"
"ENSRNOG00000000047","83628","Cd82"
"ENSRNOG00000000048","81659","Gak"
"ENSRNOG00000000053","25419","Crp"
"ENSRNOG00000000054","306338","Abhd8"
"ENSRNOG00000000055","305103","Fcrl6"
"ENSRNOG00000000060","64832","Cplx1"
"ENSRNOG00000000062","305624","Pcgf3"
"ENSRNOG00000000064","140608","Atp5me"
"ENSRNOG00000000065","289878","Pde6b"
"ENSRNOG00000000066","305105","Fbxo28"
"ENSRNOG00000000068","312754","Ppp2r5a"
"ENSRNOG00000000070","100910207","LOC100910207"
"ENSRNOG00000000073","289883","Tmed5"
"ENSRNOG00000000075","360905","Mtf2"
"ENSRNOG00000000081","305633","Antxr2"
"ENSRNOG00000000082","295568","Hltf"
"ENSRNOG00000000095","362003","Gpr89b"
"ENSRNOG00000000096","65144","Pdzk1"
"ENSRNOG00000000097","502585","Cd160"
"ENSRNOG00000000098","362002","Rnf115"
"ENSRNOG00000000104","290519","Thoc3"
"ENSRNOG00000000105","116657","Cplx2"
"ENSRNOG00000000108","290923","Aga"
"ENSRNOG00000000109","66017","Fgf20"
"ENSRNOG00000000111","290925","Coprs"
"ENSRNOG00000000112","306647","Champ1"
"ENSRNOG00000000113","307604","Elac1"
"ENSRNOG00000000121","366478","Pigv"
"ENSRNOG00000000122","24184","Ak2"
"ENSRNOG00000000123","313806","Rnf19b"
"ENSRNOG00000000124","103690615","LOC103690615"
"ENSRNOG00000000127","362607","Kpna6"
"ENSRNOG00000000129","500446","Phf24"
"ENSRNOG00000000130","313811","Dnajb5"
