"","Ensembl.macaca","Ensembl.mouse","Entrez.mouse","Unique.ID","Mouse.gene.name"
"ENSMFAG00000032500","ENSMFAG00000032500","ENSMUSG00000028619",66526,"ENSMFAG00000032500.66526","Tceanc2"
"ENSMFAG00000000628","ENSMFAG00000000628","ENSMUSG00000074480",72640,"ENSMFAG00000000628.72640","Mex3a"
"ENSMFAG00000030252","ENSMFAG00000030252","ENSMUSG00000064476",115489381,"ENSMFAG00000030252.115489381","Gm23405"
"ENSMFAG00000000115","ENSMFAG00000000115","ENSMUSG00000008601",53868,"ENSMFAG00000000115.53868","Rab25"
"ENSMFAG00000033997","ENSMFAG00000033997","ENSMUSG00000026478",226519,"ENSMFAG00000033997.226519","Lamc1"
"ENSMFAG00000039587","ENSMFAG00000039587","ENSMUSG00000037737",76652,"ENSMFAG00000039587.76652","Actrt3"
"ENSMFAG00000036171","ENSMFAG00000036171","ENSMUSG00000052310",30791,"ENSMFAG00000036171.30791","Slc39a1"
"ENSMFAG00000040959","ENSMFAG00000040959","ENSMUSG00000049908",14616,"ENSMFAG00000040959.14616","Gja8"
"ENSMFAG00000017252","ENSMFAG00000017252","ENSMUSG00000065490",387227,"ENSMFAG00000017252.387227","Mir30c-1"
"ENSMFAG00000041380","ENSMFAG00000041380","ENSMUSG00000048626",75753,"ENSMFAG00000041380.75753","Klf17"
"ENSMFAG00000002199","ENSMFAG00000002199","ENSMUSG00000039103",68810,"ENSMFAG00000002199.68810","Nexn"
"ENSMFAG00000038045","ENSMFAG00000038045","ENSMUSG00000033157",213012,"ENSMFAG00000038045.213012","Abhd10"
"ENSMFAG00000022133","ENSMFAG00000022133","ENSMUSG00000043154",235542,"ENSMFAG00000022133.235542","Ppp2r3a"
"ENSMFAG00000012995","ENSMFAG00000012995","ENSMUSG00000065451",387143,"ENSMFAG00000012995.387143","Mir101a"
"ENSMFAG00000039056","ENSMFAG00000039056","ENSMUSG00000037243",103836,"ENSMFAG00000039056.103836","Zfp692"
"ENSMFAG00000036601","ENSMFAG00000036601","ENSMUSG00000040945",108911,"ENSMFAG00000036601.108911","Rcc2"
"ENSMFAG00000034575","ENSMFAG00000034575","ENSMUSG00000037730",80732,"ENSMFAG00000034575.80732","Mynn"
"ENSMFAG00000018627","ENSMFAG00000018627","ENSMUSG00000057123",14613,"ENSMFAG00000018627.14613","Gja5"
"ENSMFAG00000001270","ENSMFAG00000001270","ENSMUSG00000004233",70560,"ENSMFAG00000001270.70560","Wars2"
"ENSMFAG00000035168","ENSMFAG00000035168","ENSMUSG00000026420",93672,"ENSMFAG00000035168.93672","Il24"
"ENSMFAG00000043364","ENSMFAG00000043364","ENSMUSG00000047613",97159,"ENSMFAG00000043364.97159","A430005L14Rik"
