"","Entrez.Mouse","Entrez.Human","Entrez.Rat"
"11364",11364,34,24158
"11370",11370,37,25363
"110446",110446,38,25014
"11477",11477,90,79558
"20391",20391,6442,303468
"11564",11564,158,315150
"11593",11593,175,290923
"11606",11606,183,24179
"17025",17025,210,25374
"11656",11656,212,25748
"229665",229665,270,25028
"11818",11818,350,287774
"14102",14102,355,246097
"11835",11835,367,24208
"11846",11846,383,29221
"109900",109900,435,59085
"11484",11484,443,79251
"11977",11977,538,24941
"12040",12040,594,29711
"12190",12190,675,360254
"12258",12258,710,295703
"12263",12263,717,NA
"12274",12274,729,24237
"110382",110382,732,313421
"12335",12335,825,29155
"12502",12502,917,300678
"21947",21947,959,84349
"11435",11435,1134,79557
"11448",11448,1145,29422
"17101",17101,1130,85419
"71991",71991,1161,310071
"12723",12723,1180,25688
"12733",12733,1188,79425
"12843",12843,1278,84352
"12836",12836,1294,NA
"12845",12845,1311,25304
"12870",12870,1356,24268
"12892",12892,1371,304024
"12896",12896,1376,25413
"13010",13010,1471,25307
"13014",13014,1476,25308
"13057",13057,1535,79129
"107986",107986,1643,100362121
"13382",13382,1738,298942
"99586",99586,1806,81656
"13616",13616,1908,366270
"13618",13618,1910,50672
"13726",13726,2010,25437
"13805",13805,2022,497010
"13828",13828,2038,362202
"13849",13849,2052,25315
"13857",13857,2057,24336
"13872",13872,2071,291703
"110842",110842,2108,300726
"14067",14067,2153,304929
"14071",14071,2158,24946
"14079",14079,2169,25598
"14087",14087,2175,361435
"14088",14088,2176,24361
"14085",14085,2184,29383
"14126",14126,2206,25316
"14151",14151,2235,361338
"14194",14194,2271,24368
"14309",14309,2492,25449
"66848",66848,2519,292485
"14343",14343,2523,81919
"14420",14420,2581,314360
"14635",14635,2584,287835
"14430",14430,2592,298003
"74185",74185,2632,288333
"270076",270076,2639,364975
"14527",14527,2642,24953
"14528",14528,2643,29244
"14600",14600,2690,25235
"14609",14609,2697,24392
"14618",14618,2705,29584
"14634",14634,2737,NA
"104174",104174,2731,309312
