"Ensembl","Entrez","Gene.Symbol","Length"
"ENSMUSG00000064842",115487594,"Gm26206",110
"ENSMUSG00000051951",497097,"Xkr4",6094
"ENSMUSG00000102851",100418032,"Gm18956",480
"ENSMUSG00000103147",664792,"Gm7341",926
"ENSMUSG00000088333",115487633,"Gm27396",58
"ENSMUSG00000025900",19888,"Rp1",9108
"ENSMUSG00000025902",20671,"Sox17",4772
"ENSMUSG00000096126",115487712,"Gm22307",107
"ENSMUSG00000103265",100039121,"Gm2053",631
"ENSMUSG00000103922",620009,"Gm6123",1069
"ENSMUSG00000033845",27395,"Mrpl15",8487
"ENSMUSG00000025903",18777,"Lypla1",7145
"ENSMUSG00000033813",21399,"Tcea1",3017
"ENSMUSG00000002459",58175,"Rgs20",4239
"ENSMUSG00000085623",102631647,"Gm16041",3725
"ENSMUSG00000091665",100417473,"Gm17101",1588
"ENSMUSG00000033793",108664,"Atp6v1h",9746
"ENSMUSG00000025905",18387,"Oprk1",9151
"ENSMUSG00000033774",226304,"Npbwr1",3692
"ENSMUSG00000103090",100418441,"Gm19214",1083
"ENSMUSG00000025907",12421,"Rb1cc1",14690
"ENSMUSG00000087247",620393,"Alkal1",971
"ENSMUSG00000103845",100418138,"Gm19026",4530
"ENSMUSG00000033740",240690,"St18",6464
"ENSMUSG00000104385",665015,"Gm7449",663
"ENSMUSG00000103629",435608,"Gm5694",641
"ENSMUSG00000051285",319263,"Pcmtd1",6654
"ENSMUSG00000077244",115485783,"Gm23274",130
"ENSMUSG00000102768",100418102,"Gm19002",1012
"ENSMUSG00000104226",665063,"Gm7470",2095
"ENSMUSG00000103903",665069,"Rps2-ps2",881
"ENSMUSG00000025909",71096,"Sntg1",10908
"ENSMUSG00000104428",100416881,"Gm18299",636
"ENSMUSG00000065625",115487601,"Gm24765",103
"ENSMUSG00000103411",100416882,"Gm18300",1406
"ENSMUSG00000061024",59014,"Rrs1",2048
"ENSMUSG00000025911",76187,"Adhfe1",3780
"ENSMUSG00000079671",72481,"2610203C22Rik",4910
"ENSMUSG00000081441",620542,"Gm6161",1102
"ENSMUSG00000067879",76982,"Vxn",3256
"ENSMUSG00000025912",17864,"Mybl1",5402
"ENSMUSG00000045210",70675,"Vcpip1",9749
"ENSMUSG00000025915",170755,"Sgk3",14311
"ENSMUSG00000046334",108167613,"Gm6195",357
"ENSMUSG00000046101",240697,"Mcmdc2",5916
"ENSMUSG00000098234",73824,"Snhg6",1146
"ENSMUSG00000093178",266793,"Snord87",87
"ENSMUSG00000099032",100039596,"Tcf24",4193
"ENSMUSG00000025916",69312,"Ppp1r42",1523
"ENSMUSG00000095780",115487608,"LOC115487608",104
"ENSMUSG00000025917",26754,"Cops5",3766
"ENSMUSG00000056763",211660,"Cspp1",17553
"ENSMUSG00000067851",211673,"Arfgef1",11318
"ENSMUSG00000042501",329093,"Cpa6",6840
"ENSMUSG00000094979",115487592,"Gm25253",107
"ENSMUSG00000081417",102636010,"Gm15603",492
"ENSMUSG00000100212",433271,"Gm5522",1242
"ENSMUSG00000100648",115487491,"Gm28659",759
"ENSMUSG00000048960",109294,"Prex2",16609
"ENSMUSG00000077318",115487671,"Gm24173",128
"ENSMUSG00000057715",320492,"A830018L16Rik",9183
"ENSMUSG00000093864",115487708,"Gm22633",107
"ENSMUSG00000098555",102465961,"Mir6341",121
"ENSMUSG00000097171",329096,"Gm17644",3200
"ENSMUSG00000016918",240725,"Sulf1",11294
"ENSMUSG00000025938",240726,"Slco5a1",13137
"ENSMUSG00000042414",383491,"Prdm14",2564
"ENSMUSG00000005886",17978,"Ncoa2",15642
"ENSMUSG00000087782",115487625,"Gm23169",112
"ENSMUSG00000101171",665341,"Gm7593",644
"ENSMUSG00000025935",72265,"Tram1",3162
"ENSMUSG00000025937",212442,"Lactb2",4566
"ENSMUSG00000067813",381246,"Xkr9",1926
"ENSMUSG00000077368",115485793,"Gm26273",131
"ENSMUSG00000097711",433273,"Gm5523",997
"ENSMUSG00000025932",14048,"Eya1",7808
"ENSMUSG00000025930",17681,"Msc",2546
"ENSMUSG00000082193",665407,"Rpl5-ps1",894
"ENSMUSG00000032769",277328,"Trpa1",4263
"ENSMUSG00000088159",115485804,"Gm26345",120
"ENSMUSG00000073737",100039959,"Gm10566",996
